NAV,NAV date
16.99,24-Nov-15
17.17,26-Nov-15
17.3,27-Nov-15
17.31,30-Nov-15
17.32,01-Dec-15
17.22,02-Dec-15
17.1,03-Dec-15
16.97,04-Dec-15
17.04,07-Dec-15
16.95,08-Dec-15
16.79,09-Dec-15
16.88,10-Dec-15
16.71,11-Dec-15
16.76,14-Dec-15
16.88,15-Dec-15
16.98,16-Dec-15
17.23,17-Dec-15
17.13,18-Dec-15
17.19,21-Dec-15
17.12,22-Dec-15
17.34,23-Dec-15
17.34,24-Dec-15
17.42,28-Dec-15
17.46,29-Dec-15
17.45,30-Dec-15
17.56,31-Dec-15
17.62,01-Jan-16
17.21,04-Jan-16
17.21,05-Jan-16
17.15,06-Jan-16
16.75,07-Jan-16
16.89,08-Jan-16
16.79,11-Jan-16
16.59,12-Jan-16
16.7,13-Jan-16
16.61,14-Jan-16
16.33,15-Jan-16
16.01,18-Jan-16
16.21,19-Jan-16
16.03,20-Jan-16
15.92,21-Jan-16
16.22,22-Jan-16
16.3,25-Jan-16
16.34,27-Jan-16
16.23,28-Jan-16
16.61,29-Jan-16
16.62,01-Feb-16
16.36,02-Feb-16
16.14,03-Feb-16
16.32,04-Feb-16
16.55,05-Feb-16
16.38,08-Feb-16
16.11,09-Feb-16
15.89,10-Feb-16
15.28,11-Feb-16
15.3,12-Feb-16
15.64,15-Feb-16
15.31,16-Feb-16
15.41,17-Feb-16
15.58,18-Feb-16
15.56,19-Feb-16
15.6,22-Feb-16
15.38,23-Feb-16
15.19,24-Feb-16
15.05,25-Feb-16
15.12,26-Feb-16
15.07,29-Feb-16
15.58,01-Mar-16
15.86,02-Mar-16
16.11,03-Mar-16
16.13,04-Mar-16
16.14,08-Mar-16
16.21,09-Mar-16
16.09,10-Mar-16
16.14,11-Mar-16
16.24,14-Mar-16
16.04,15-Mar-16
16.09,16-Mar-16
16.16,17-Mar-16
16.39,18-Mar-16
16.6,21-Mar-16
16.66,22-Mar-16
16.67,23-Mar-16
16.4,28-Mar-16
16.41,29-Mar-16
16.68,30-Mar-16
16.91,31-Mar-16
16.86,01-Apr-16
17.01,04-Apr-16
16.69,05-Apr-16
16.83,06-Apr-16
16.69,07-Apr-16
16.72,08-Apr-16
16.97,11-Apr-16
17.07,12-Apr-16
17.28,13-Apr-16
17.4,18-Apr-16
17.49,20-Apr-16
17.37,21-Apr-16
17.29,22-Apr-16
17.19,25-Apr-16
17.48,26-Apr-16
